,EBER RES,GÖKTEPE RES,KANGAL RES,KIYIKÖY RES,TAŞPINAR RES(GALATA WİND),İSTANBUL RES,EVRENCİK RES,SİLİVRİ RES,BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.),BOZÜYÜK RES,KOCATEPE RES(İzdem),SÜLOĞLU RES,SAROS RES,ATARES-1 RES,ATARES-2 RES,BERGRES RES,DENİZLİ RES,GEYVE RES,GÜLPINAR RES,KUŞADASI RES,OVACIK RES,TATLIPINAR RES,VİZE-2 RES,ZONGULDAK RES,ÖMERLİ RES(BETİM),ÜÇPINAR RES,ATAKALE RES,CERİT RES_(PAKMEM),MASLAKTEPE RES(ENİ),MUTLU RES 5,YAHYALI RES(BAK)
EBER RES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GÖKTEPE RES,0,0,0,1,1,1,2,0,0,0,0,0,0,1,1,1,0,1,2,0,0,1,1,1,0,1,0,0,0,0,0
KANGAL RES,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIYIKÖY RES,0,1,1,0,1,2,2,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0
TAŞPINAR RES(GALATA WİND),1,1,0,1,0,1,2,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0
İSTANBUL RES,0,1,0,2,1,0,2,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0
EVRENCİK RES,0,2,0,2,2,2,2,0,0,0,0,0,0,2,2,2,0,2,2,0,0,2,2,2,0,2,0,0,0,0,0
SİLİVRİ RES,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAĞLAR RES (BAĞLAR ELK.ÜRT.A.Ş.),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOZÜYÜK RES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOCATEPE RES(İzdem),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
SÜLOĞLU RES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAROS RES,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATARES-1 RES,0,1,0,1,1,1,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0
ATARES-2 RES,0,1,0,1,1,1,2,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0
BERGRES RES,0,1,0,1,1,1,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0
DENİZLİ RES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
GEYVE RES,0,1,0,1,1,1,2,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0
GÜLPINAR RES,0,2,0,1,1,1,2,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0
KUŞADASI RES,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
OVACIK RES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
TATLIPINAR RES,0,1,0,1,1,1,2,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0
VİZE-2 RES,0,1,0,1,1,1,2,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0
ZONGULDAK RES,0,1,0,1,1,1,2,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
ÖMERLİ RES(BETİM),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ÜÇPINAR RES,0,1,0,1,1,1,2,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0
ATAKALE RES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CERİT RES_(PAKMEM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASLAKTEPE RES(ENİ),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
MUTLU RES 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAHYALI RES(BAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
