y_true,y_prob
0,0.44850054
0,0.16918406
0,0.1943587
0,0.1608597
1,0.62697905
0,0.23232353
1,0.29370695
0,0.31386858
0,0.19957425
1,0.3597099
1,0.20496182
0,0.14949675
0,0.23381065
0,0.27606672
1,0.33039293
1,0.27286568
0,0.27642927
0,0.4236777
0,0.5274669
0,0.2606491
1,0.15466098
1,0.2883475
1,0.54115176
0,0.22656536
0,0.47362652
0,0.26757708
0,0.1635359
0,0.23082866
0,0.5593552
0,0.53330886
0,0.2973704
0,0.37841177
0,0.32612115
0,0.332813
0,0.5020811
1,0.4591731
1,0.25623024
0,0.41486087
0,0.28150588
0,0.20377477
0,0.66074383
0,0.40129015
0,0.21436092
0,0.5702565
0,0.23266691
0,0.4014637
0,0.5261727
0,0.42193893
0,0.46799928
0,0.17652524
0,0.25837204
0,0.3365481
1,0.36905837
0,0.47831264
0,0.2292233
0,0.54190105
0,0.19028388
0,0.2449636
0,0.1658935
1,0.3241582
1,0.45619905
1,0.3238168
0,0.2975546
0,0.17113818
0,0.41511133
0,0.2592274
0,0.318951
0,0.17729175
0,0.27796927
0,0.15497875
1,0.6247419
0,0.12555858
1,0.3764745
1,0.2992795
1,0.16778244
0,0.503688
0,0.5251416
0,0.3416763
0,0.16103022
0,0.40105066
0,0.34257364
0,0.34385067
0,0.42490858
0,0.21723951
0,0.44196063
0,0.30495822
0,0.54886293
0,0.67650837
0,0.24436222
0,0.23034678
0,0.27010924
0,0.41833094
0,0.5580274
0,0.36259702
0,0.4314643
0,0.36531526
0,0.20063818
0,0.37342945
0,0.23358205
0,0.41332304
1,0.35594723
0,0.27549216
0,0.5163989
0,0.4445954
0,0.41826802
1,0.5030367
0,0.6381463
0,0.41451377
0,0.2343429
0,0.3085983
0,0.24068312
0,0.18687281
1,0.5710302
0,0.43286824
0,0.5129037
0,0.23895721
0,0.15630871
0,0.28864807
1,0.4154496
0,0.36997202
0,0.34028336
0,0.3697831
0,0.36236292
0,0.6524501
0,0.36319312
0,0.32418624
0,0.29371226
0,0.475731
1,0.29916513
0,0.47350731
0,0.33818316
0,0.13026766
1,0.3868538
0,0.1956154
0,0.45496833
0,0.1872604
1,0.32658282
0,0.46982974
0,0.305274
0,0.31650808
0,0.34603825
0,0.43548808
1,0.38845265
0,0.1076766
0,0.25109807
0,0.44662043
0,0.3231763
0,0.20864353
