theta_high,theta_low,theta_drop,n_events,n_plants,is_baseline
40.0,8.0,64.0,582,67,False
40.0,8.0,72.0,582,67,False
40.0,8.0,80.0,582,67,False
40.0,8.0,88.0,451,61,False
40.0,8.0,96.0,245,49,False
40.0,9.0,64.0,673,68,False
40.0,9.0,72.0,673,68,False
40.0,9.0,80.0,651,68,False
40.0,9.0,88.0,455,61,False
40.0,9.0,96.0,245,49,False
40.0,10.0,64.0,773,69,False
40.0,10.0,72.0,773,69,False
40.0,10.0,80.0,686,68,False
40.0,10.0,88.0,460,61,False
40.0,10.0,96.0,245,49,False
40.0,11.0,64.0,897,72,False
40.0,11.0,72.0,897,72,False
40.0,11.0,80.0,714,68,False
40.0,11.0,88.0,461,61,False
40.0,11.0,96.0,245,49,False
40.0,12.0,64.0,1021,72,False
40.0,12.0,72.0,1008,72,False
40.0,12.0,80.0,732,68,False
40.0,12.0,88.0,463,61,False
40.0,12.0,96.0,245,49,False
45.0,8.0,64.0,362,57,False
45.0,8.0,72.0,362,57,False
45.0,8.0,80.0,362,57,False
45.0,8.0,88.0,309,52,False
45.0,8.0,96.0,179,44,False
45.0,9.0,64.0,408,58,False
45.0,9.0,72.0,408,58,False
45.0,9.0,80.0,408,58,False
45.0,9.0,88.0,313,52,False
45.0,9.0,96.0,179,44,False
45.0,10.0,64.0,463,58,False
45.0,10.0,72.0,463,58,False
45.0,10.0,80.0,443,58,False
45.0,10.0,88.0,318,52,False
45.0,10.0,96.0,179,44,False
45.0,11.0,64.0,535,58,False
45.0,11.0,72.0,535,58,False
45.0,11.0,80.0,471,58,False
45.0,11.0,88.0,319,52,False
45.0,11.0,96.0,179,44,False
45.0,12.0,64.0,595,58,False
45.0,12.0,72.0,595,58,False
45.0,12.0,80.0,489,58,False
45.0,12.0,88.0,321,52,False
45.0,12.0,96.0,179,44,False
50.0,8.0,64.0,204,40,False
50.0,8.0,72.0,204,40,False
50.0,8.0,80.0,204,40,False
50.0,8.0,88.0,186,39,False
50.0,8.0,96.0,112,31,False
50.0,9.0,64.0,231,41,False
50.0,9.0,72.0,231,41,False
50.0,9.0,80.0,231,41,False
50.0,9.0,88.0,190,39,False
50.0,9.0,96.0,112,31,False
50.0,10.0,64.0,259,43,False
50.0,10.0,72.0,259,43,False
50.0,10.0,80.0,259,43,True
50.0,10.0,88.0,195,39,False
50.0,10.0,96.0,112,31,False
50.0,11.0,64.0,296,44,False
50.0,11.0,72.0,296,44,False
50.0,11.0,80.0,287,43,False
50.0,11.0,88.0,196,39,False
50.0,11.0,96.0,112,31,False
50.0,12.0,64.0,331,45,False
50.0,12.0,72.0,331,45,False
50.0,12.0,80.0,305,43,False
50.0,12.0,88.0,198,39,False
50.0,12.0,96.0,112,31,False
55.0,8.0,64.0,155,34,False
55.0,8.0,72.0,155,34,False
55.0,8.0,80.0,155,34,False
55.0,8.0,88.0,149,34,False
55.0,8.0,96.0,94,27,False
55.0,9.0,64.0,169,35,False
55.0,9.0,72.0,169,35,False
55.0,9.0,80.0,169,35,False
55.0,9.0,88.0,153,34,False
55.0,9.0,96.0,94,27,False
55.0,10.0,64.0,188,35,False
55.0,10.0,72.0,188,35,False
55.0,10.0,80.0,188,35,False
55.0,10.0,88.0,158,34,False
55.0,10.0,96.0,94,27,False
55.0,11.0,64.0,209,35,False
55.0,11.0,72.0,209,35,False
55.0,11.0,80.0,209,35,False
55.0,11.0,88.0,159,34,False
55.0,11.0,96.0,94,27,False
55.0,12.0,64.0,229,37,False
55.0,12.0,72.0,229,37,False
55.0,12.0,80.0,227,37,False
55.0,12.0,88.0,161,34,False
55.0,12.0,96.0,94,27,False
60.0,8.0,64.0,119,30,False
60.0,8.0,72.0,119,30,False
60.0,8.0,80.0,119,30,False
60.0,8.0,88.0,116,29,False
60.0,8.0,96.0,77,24,False
60.0,9.0,64.0,128,30,False
60.0,9.0,72.0,128,30,False
60.0,9.0,80.0,128,30,False
60.0,9.0,88.0,120,29,False
60.0,9.0,96.0,77,24,False
60.0,10.0,64.0,143,30,False
60.0,10.0,72.0,143,30,False
60.0,10.0,80.0,143,30,False
60.0,10.0,88.0,125,29,False
60.0,10.0,96.0,77,24,False
60.0,11.0,64.0,158,32,False
60.0,11.0,72.0,158,32,False
60.0,11.0,80.0,158,32,False
60.0,11.0,88.0,126,29,False
60.0,11.0,96.0,77,24,False
60.0,12.0,64.0,175,34,False
60.0,12.0,72.0,175,34,False
60.0,12.0,80.0,175,34,False
60.0,12.0,88.0,128,29,False
60.0,12.0,96.0,77,24,False
