tarih,saat,toplam(mwh),rüzgar(mwh),jeotermal(mwh),rezervuarlı(mwh),kanal tipi(mwh),nehir tipi(mwh),çöp gazı(mwh),biyogaz(mwh),güneş(mwh),biyokütle(mwh),diğer(mwh),datetime,wind_speed_avg,wind_speed_max,production,prev_production,prod_change_pct,drop_mw,wind_category
02.12.2025,14:00,"4.058,39",543.49,"982,13","403,54","173,07","3,66","83,16","0,96","943,89","918,12","6,37",2025-02-12,27.6,39.6,543.49,861.03,-36.87908667526102,317.53999999999996,HARD (≥25 m/s)
02.12.2025,16:00,"3.289,18",290.6,"970,92","547,36","226,68","2,10","86,28","0,83","278,27","881,88","4,26",2025-02-12,27.6,39.6,290.6,497.35,-41.570322710364934,206.75,HARD (≥25 m/s)
02.12.2025,18:00,"3.688,69",188.56,"994,30","1.281,33","259,36","2,10","82,67","0,81","0,00","876,33","3,23",2025-02-12,27.6,39.6,188.56,242.15,-22.13091059260789,53.59,HARD (≥25 m/s)
02.12.2025,20:00,"2.830,71",151.49,"1.007,73","470,76","249,09","2,10","82,22","0,82","0,00","863,50","3,00",2025-02-12,27.6,39.6,151.49,266.18,-43.08738447666992,114.69,HARD (≥25 m/s)
02.12.2025,21:00,"2.889,30",181.37,"1.007,24","489,10","256,18","3,69","83,11","0,83","0,00","864,78","3,00",2025-02-12,27.6,39.6,181.37,151.49,19.724074196316586,-29.879999999999995,HARD (≥25 m/s)
02.12.2025,19:00,"2.963,80",178.82,"1.001,12","594,22","246,58","3,64","81,25","0,83","0,00","854,04","3,30",2025-02-12,27.6,39.6,178.82,628.03,-71.52683788990973,449.21,HARD (≥25 m/s)
02.12.2025,05:00,"2.566,43",256.7,"1.016,83","132,89","142,75","4,08","81,75","0,85","0,00","905,58","25,00",2025-02-12,27.6,39.6,256.7,638.07,-59.76930430830474,381.37000000000006,HARD (≥25 m/s)
02.12.2025,01:00,"2.681,29",268.11,"1.010,79","193,65","214,68","2,10","78,42","0,82","0,00","887,41","25,31",2025-02-12,27.6,39.6,268.11,665.56,-59.71662960514453,397.44999999999993,HARD (≥25 m/s)
03.12.2025,20:00,"3.347,21",713.48,"991,47","466,90","230,45","2,10","85,58","0,92","0,00","853,31","3,00",2025-03-12,24.5,39.8,713.48,892.16,-20.02779770444763,178.67999999999995,SOFT (23-25 m/s)
03.12.2025,16:00,"3.576,38",363.35,"973,70","896,60","210,35","2,10","84,87","0,94","185,93","854,70","3,84",2025-03-12,24.5,39.8,363.35,508.48,-28.541928886091878,145.13,SOFT (23-25 m/s)
